time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-06T05:04:32.454Z,69.5589,-144.8606,0,1.9,ml,,,,1.18,ak,ak20271933,2018-10-06T05:10:36.101Z,"79km SW of Kaktovik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2018-10-06T04:58:22.569Z,69.477,-144.1674,0,2.5,ml,,,,0.81,ak,ak20271930,2018-10-06T05:03:18.573Z,"76km SSW of Kaktovik, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-10-06T04:55:13.950Z,32.8853333,-116.263,6.53,0.89,ml,12,128,0.1342,0.25,ci,ci38316584,2018-10-06T04:58:51.423Z,"26km ENE of Pine Valley, CA",earthquake,0.5,1.66,0.161,12,automatic,ci,ci
2018-10-06T04:54:32.820Z,38.8131676,-122.8281631,1.66,0.56,md,10,90,0.004366,0.04,nc,nc73094256,2018-10-06T05:10:03.073Z,"7km WNW of The Geysers, CA",earthquake,0.38,0.93,,1,automatic,nc,nc
2018-10-06T04:51:18.416Z,67.7454,-157.2285,0,1.4,ml,,,,1.28,ak,ak20271927,2018-10-06T04:55:40.123Z,"94km N of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-10-06T04:44:18.029Z,64.8948,-148.9317,16.9,1.2,ml,,,,0.47,ak,ak20271924,2018-10-06T04:48:34.649Z,"36km NNE of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-10-06T04:42:50.578Z,62.1284,-147.7622,25.8,2,ml,,,,0.69,ak,ak20271921,2018-10-06T04:46:48.133Z,"68km ENE of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-10-06T04:36:32.614Z,69.2866,-146.8789,0,2.2,ml,,,,1.17,ak,ak20271917,2018-10-06T04:41:40.331Z,"121km SSE of Prudhoe Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-10-06T04:23:52.470Z,33.5003333,-116.8008333,2.77,2.2,ml,83,28,0.01201,0.23,ci,ci38316576,2018-10-06T04:34:54.990Z,"9km NE of Aguanga, CA",earthquake,0.18,0.59,0.185,26,automatic,ci,ci
2018-10-06T04:14:25.130Z,42.7112,141.9477,44.99,4.6,mb,,75,1.134,0.41,us,us1000h800,2018-10-06T07:44:04.812Z,"27km ESE of Chitose, Japan",earthquake,5.4,7.7,0.086,40,reviewed,us,us
2018-10-06T04:13:33.886Z,63.0277,-150.0954,103.5,2,ml,,,,0.33,ak,ak20271909,2018-10-06T04:17:00.655Z,"70km SW of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-10-06T04:12:25.209Z,61.5172,-149.8437,32.2,1.4,ml,,,,0.47,ak,ak20271908,2018-10-06T04:15:14.507Z,"5km E of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
